frame,time_s,lit_pixels,display_sha256
170,21.156864278975263,48,4cb4c96054c98d485443e184d836810959f84c6790dce122c0e8f3f01b7616c8
171,21.219364278975263,58,02c4815574982d7525f5165fe07e44fe4fa864b7f0d8cf6cd27e64db50d865da
172,21.281864278975263,49,91bfa22c4b2a5c53a1534eca358d05accb74c7f0cde43749597623caf6e64d7f
173,21.344364278975263,59,4d9041aff6dbe5d3b512fb8f3e818c7546abed49addeb2cb3e4678e70c5ec5be
174,21.406864278975263,61,7288e0be86fd9d94b1d2f6c34c09e3335c18d9b84fa000a80aa24a7c9a74b977
175,21.469364278975263,65,40cc00d7ec5c68c8d1006e492b58d199f41e76a299422735b1dca2c205798f92
176,21.531864278917055,64,655fdbc05db0380445c56d8629a5056060b83e5ee034508a213f9909a5360c97
177,21.594364278917055,69,c41e085bb2cf3ef3797a188a95614a998f883a29220f8dfa4cf4f0b3e6e81e37
178,21.656864278917055,71,169a117416e75986a1066fb48f7344643a4f959e54e762cf46340141d5592770
179,21.719364278946159,66,fdc0eef2189cd50f61c36d673f70ed6e9b6bcbfafaf82ae9b6fab8bc276371f1
180,21.781864278946159,75,a705c5a3caeb5e37806868851af373965463314c81bf00d50d93a0cac6eb1d70
181,21.844364278946159,79,f3a6eaac8cf5c6a47062d0d80008e907f82e381bb2c8d20ff9d14e5c30b31dc4
182,21.906864279004367,82,b7641c9fad735aefb92518ec881afab4401cb0fa4e835011f3e4f0d20f69e306
183,21.969364279004367,109,bd1a3a3b44215e952d23ac3fff09b623a9c8c4906ec491aeea3e4f0eff946cd1
184,22.031864278946159,106,dc4a3e53d8ab5880f03f3b4907104cea34c3b56ffde39eb30fa72591a2e5558e
185,22.094364278946159,82,924214a680c77995a896a8d6ce8edfb2ce6402ae50255914c62c724203892eb4
186,22.156864279004367,87,bd6517604f8b20521a04a7963ce5b887cfa36cd2d340a977e943fe80f0c534e3
187,22.219364279004367,84,bbebb7eb278f327b585c6399e4f087fd77a5dcd7e6acb2f5794dd01b9ff99473
188,22.281864279004367,89,42d6e01d48bacead41981f6ab23cbacd2430dfadf9f22896c31b3ce74a5f9a74
189,22.344364279004367,77,1b21819b7c3899241a4742ac3c4caf06da0ee8f23850e2c607026f054965b009
