sample,time_s,centerline_heat_release_W
611,11.384296947413532,0
612,11.385943213383143,0
613,11.387589479352755,0
614,11.389235745322367,0
615,11.390882011291978,0
616,11.39252827726159,0
617,11.394174543231202,0
618,11.395820809200814,0
619,11.397467075170425,0
620,11.399113341140037,0
621,11.400759607109649,0
622,11.40240587307926,0
623,11.404052139048872,0
624,11.405698405018484,0
625,11.406864278971625,0
626,11.408146740308439,0
627,11.409557447790576,0
628,11.411109226079134,0
629,11.412755492048746,0
630,11.414401758018357,0
631,11.416048023987969,0
632,11.417694289957581,0
633,11.419340555927192,0
634,11.420986821896804,0
635,11.422633087866416,0
636,11.424279353836027,0
637,11.425925619805639,0
638,11.427571885775251,0
639,11.429218151744863,0
640,11.430864417714474,0
641,11.432510683684086,0
642,11.434156949653698,0
643,11.435803215623309,0
644,11.437449481592921,0
645,11.439095747562533,0
646,11.440742013532144,0
647,11.442388279501756,0
648,11.444034545471368,0
649,11.44568081144098,0
650,11.447327077410591,0
651,11.448973343380203,0
652,11.450619609349815,0
653,11.452265875319426,0
654,11.453912141289038,0
655,11.45555840725865,0
656,11.457204673228262,0
657,11.458850939197873,0
658,11.460497205167485,0
659,11.462143471137097,0
660,11.463789737106708,0
661,11.46543600307632,0
662,11.467082269045932,0
663,11.468728535015543,0
664,11.469364278913417,0
665,11.470063597218541,0
666,11.470832847371639,0
667,11.47167902255751,0
668,11.472609815267788,0
669,11.473633687208348,0
670,11.474759946308041,0
671,11.475998831294419,0
672,11.477361604767793,0
673,11.478860655646713,0
674,11.480506921616325,0
675,11.482153187585936,0
676,11.483799453555548,0
677,11.48544571952516,0
678,11.487091985494772,0
679,11.488738251464383,0
680,11.490384517433995,0
681,11.492030783403607,0
682,11.493677049373218,0
683,11.49532331534283,0
684,11.496969581312442,0
685,11.498615847282053,0
686,11.500262113251665,0
687,11.501908379221277,0
688,11.503554645190889,0
689,11.5052009111605,0
690,11.506847177130112,0
691,11.508493443099724,0
692,11.510139709069335,0
693,11.511785975038947,0
694,11.513432241008559,0
695,11.51507850697817,0
696,11.516724772947782,0
697,11.518371038917394,0
698,11.520017304887006,0
699,11.521663570856617,0
700,11.523309836826229,0
701,11.524956102795841,0
702,11.526602368765452,0
703,11.528248634735064,0
704,11.529894900704676,0
705,11.531541166674288,0
706,11.531864278913417,0
707,11.532219702370639,0
708,11.532610668182315,0
709,11.533040730566427,0
710,11.533513799186039,0
711,11.534034174685075,0
712,11.534606587716553,0
713,11.535236242045357,0
714,11.535928861812863,0
715,11.536690743574582,0
716,11.537528813518293,0
717,11.538450690444733,0
718,11.539464755092922,0
719,11.540580226217571,0
720,11.541807244408119,0
721,11.543156964464288,0
722,11.544641656560998,0
723,11.546274817890662,0
724,11.547921083860274,0
725,11.549567349829886,0
726,11.551213615799497,0
727,11.552859881769109,0
728,11.554506147738721,0
729,11.556152413708332,0
730,11.557798679677944,0
731,11.559444945647556,0
732,11.561091211617168,0
733,11.562737477586779,0
734,11.564383743556391,0
735,11.566030009526003,0
736,11.567676275495614,0
737,11.569322541465226,0
738,11.570968807434838,0
739,11.57261507340445,0
740,11.574261339374061,0
741,11.575907605343673,0
742,11.577553871313285,0
743,11.579200137282896,0
744,11.580846403252508,0
745,11.58249266922212,0
746,11.584138935191731,0
747,11.585785201161343,0
748,11.587431467130955,0
749,11.589077733100567,0
750,11.590723999070178,0
751,11.59237026503979,0
752,11.594016531009402,0
