# HITEMP pruned exponential-sum Planck-mean surface v1
# T_grid 300.0 2500.0 50.0
# columns T_gas T_rad kappaP_cm2_per_molecule d_dTgas d_dTrad d2_dTgas_dTrad
350.0 1300.0 2.55205079884800983e-20 2.27449646629377121e-25 -2.34833149729002531e-23 -5.69349934181462941e-28
350.0 1350.0 2.43575390370048812e-20 2.00666680724043206e-25 -2.30020233046424715e-23 -5.03199363913639061e-28
350.0 1400.0 2.32231263090077331e-20 1.77010161393208574e-25 -2.23510061269045712e-23 -4.44216618685323377e-28
350.0 1450.0 2.21243794855428360e-20 1.56134059464299969e-25 -2.15831316075889690e-23 -3.91889158096024112e-28
350.0 1500.0 2.10660720770075909e-20 1.37720059558711051e-25 -2.07394060001176326e-23 -3.45632361965198015e-28
350.0 1550.0 2.00511739449548227e-20 1.21479689055969120e-25 -1.98513262229886227e-23 -3.04844200048536226e-28
350.0 1600.0 1.90812764600142079e-20 1.07154286229595629e-25 -1.89428283168029424e-23 -2.68938431487868123e-28
350.0 1650.0 1.81569294068672771e-20 9.45136894238912391e-26 -1.80318775767283056e-23 -2.37363554667665748e-28
350.0 1700.0 1.72779062572002609e-20 8.33542279577738433e-26 -1.71317524214836606e-23 -2.09612464500217988e-28
350.0 1750.0 1.64434118407758761e-20 7.34963897300292580e-26 -1.62520727073584299e-23 -1.85226183743113215e-28
350.0 1800.0 1.56522440230153121e-20 6.47824014783381887e-26 -1.53996182860976087e-23 -1.63793930464824512e-28
350.0 1850.0 1.49029188603973921e-20 5.70738647327406085e-26 -1.45789773988938115e-23 -1.44951023895124710e-28
350.0 1900.0 1.41937668841559172e-20 5.02495291865270299e-26 -1.37930581930368857e-23 -1.28375612348752640e-28
350.0 1950.0 1.35230066466686127e-20 4.42032453774210283e-26 -1.30434908267321487e-23 -1.13784855792713637e-28
350.0 2000.0 1.28888004223078946e-20 3.88421132323010181e-26 -1.23309425301173900e-23 -1.00930959819373508e-28
350.0 2050.0 1.22892959473552876e-20 3.40848273824052237e-26 -1.16553636696927333e-23 -8.95973008945187267e-29
350.0 2100.0 1.17226572737307118e-20 2.98602109251946669e-26 -1.10161792787249730e-23 -7.95947795576053206e-29
350.0 2150.0 1.11870871639682444e-20 2.61059242693954654e-26 -1.04124375860122626e-23 -7.07584713893308422e-29
350.0 2200.0 1.06808429396291077e-20 2.27673333525829148e-26 -9.84292470507036661e-24 -6.29446031190771304e-29
350.0 2250.0 1.02022472865872797e-20 1.97965208610564410e-26 -9.30625274273519627e-24 -5.60278550928805300e-29
350.0 2300.0 9.74969519709739147e-21 1.71514244406620178e-26 -8.80092706656175580e-24 -4.98989759319901012e-29
350.0 2350.0 9.32165797296764480e-21 1.47950868288945726e-26 -8.32539726175271286e-24 -4.44626868444377060e-29
350.0 2400.0 8.91668501250744000e-21 1.26950040760909684e-26 -7.87809534981474906e-24 -3.96358491866938150e-29
350.0 2450.0 8.53340394502993882e-21 1.08225593797650056e-26 -7.45746408250051073e-24 -3.53458678247511556e-29
350.0 2500.0 8.17051955157565239e-21 9.15253141691977997e-27 -7.06197752506677725e-24 -3.15293034962052043e-29
400.0 300.0 1.07682456468766196e-20 1.46322944887022729e-25 1.33848676320345632e-23 3.86437781079430634e-27
400.0 350.0 1.19659053948511210e-20 3.56057538958249800e-25 3.57790438970080756e-23 4.37587452773066331e-27
400.0 400.0 1.43370927649594442e-20 5.69163136672614929e-25 5.79737496342812313e-23 4.01716709491939437e-27
400.0 450.0 1.76022060020880324e-20 7.47684735717426747e-25 7.07721301057009791e-23 3.05646126413054742e-27
400.0 500.0 2.12326982072934705e-20 8.71282141384561971e-25 7.27969251860789976e-23 1.88011758091434834e-27
400.0 550.0 2.47433778439574123e-20 9.37002734887703757e-25 6.65340917122153894e-23 7.77012094131897780e-28
400.0 600.0 2.78048770091657712e-20 9.52663102464105777e-25 5.53766125956184267e-23 -1.08948627138306777e-28
400.0 650.0 3.02481118398041811e-20 9.30347898268217449e-25 4.22117419876480558e-23 -7.42410736595489336e-28
400.0 700.0 3.20261584314734689e-20 8.82246762833188943e-25 2.90252628490966441e-23 -1.14708364903944834e-27
400.0 750.0 3.31699215114256829e-20 8.18677603630647803e-25 1.69755402323189620e-23 -1.36951043829686817e-27
400.0 800.0 3.37520234548439021e-20 7.47512111898966469e-25 6.61158149616031542e-24 -1.45870891471463640e-27
400.0 850.0 3.38618904192841475e-20 6.74315068449810696e-25 -1.91108098303113367e-24 -1.45708507536414860e-27
400.0 900.0 3.35904722305453469e-20 6.02760377157944443e-25 -8.66396017566004531e-24 -1.39775380834821677e-27
400.0 950.0 3.30219215716421212e-20 5.35093986787289794e-25 -1.38325467073804250e-23 -1.30491802382578517e-27
400.0 1000.0 3.22298040375599306e-20 4.72543512544735799e-25 -1.76459802039174669e-23 -1.19539870343446331e-27
400.0 1050.0 3.12760245173431153e-20 4.15643661399704525e-25 -2.03367246382856262e-23 -1.08037132041581609e-27
400.0 1100.0 3.02112463165296614e-20 3.64478686668259075e-25 -2.21196701951496479e-23 -9.66911277007424893e-28
