# HITEMP pruned exponential-sum Planck-mean surface v1
# T_grid 300.0 2500.0 50.0
# columns T_gas T_rad kappaP_cm2_per_molecule d_dTgas d_dTrad d2_dTgas_dTrad
450.0 800.0 7.44158356406963799e-21 3.99677834668763762e-24 -9.58675958362328526e-24 -1.25281862515405716e-26
450.0 850.0 6.99291081446050142e-21 3.42967234124008008e-24 -8.40415070686220003e-24 -1.02503512300040311e-26
450.0 900.0 6.59729341734981189e-21 2.96356077344711941e-24 -7.45461675872727915e-24 -8.46494829927834300e-27
450.0 950.0 6.24443968728612519e-21 2.57700351774944412e-24 -6.68604064363184046e-24 -7.05105045984144038e-27
450.0 1000.0 5.92634682848470650e-21 2.25375236768015811e-24 -6.05830725548153537e-24 -5.92011907422969408e-27
450.0 1050.0 5.63678626695134493e-21 1.98137275337401225e-24 -5.54016273906161520e-24 -5.00687001162029702e-27
450.0 1100.0 5.37091338590429991e-21 1.75025291666513111e-24 -5.10722853471282450e-24 -4.26276686587534173e-27
450.0 1150.0 5.12496126258074527e-21 1.55288869006752932e-24 -4.74056639561933564e-24 -3.65139717161906780e-27
450.0 1200.0 4.89599781424217491e-21 1.38336415279125166e-24 -4.42555292347981996e-24 -3.14518400582369582e-27
450.0 1250.0 4.68173364830390812e-21 1.23697178099658045e-24 -4.15096681459355655e-24 -2.72303975560109568e-27
450.0 1300.0 4.48037119431673686e-21 1.10993234850992465e-24 -3.90824510845379292e-24 -2.36868369701761325e-27
450.0 1350.0 4.29048736192090610e-21 9.99186564161860391e-25 -3.69088211857149378e-24 -2.06942788677852225e-27
450.0 1400.0 4.11094313257057792e-21 9.02238653901396724e-25 -3.49394978729759685e-24 -1.81529455352422357e-27
450.0 1450.0 3.94081450691247376e-21 8.17037847056637834e-25 -3.31371996846680287e-24 -1.59836929520278770e-27
450.0 1500.0 3.77934016895622403e-21 7.41887751405268428e-25 -3.14737061100752601e-24 -1.41232303389557918e-27
450.0 1550.0 3.62588208464556421e-21 6.75376426317066972e-25 -2.99275968134239506e-24 -1.25205558704165319e-27
450.0 1600.0 3.47989600679320133e-21 6.16321953464006054e-25 -2.84825284680601558e-24 -1.11342755157855661e-27
450.0 1650.0 3.34090950041605737e-21 5.63729714382557343e-25 -2.71259320960962043e-24 -9.93056835843975776e-28
450.0 1700.0 3.20850563345370483e-21 5.16758589028731661e-25 -2.58480353237545046e-24 -8.88162911368994343e-28
450.0 1750.0 3.08231090675275406e-21 4.74694010671879765e-25 -2.46411331349998466e-24 -7.96446588323194248e-28
450.0 1800.0 2.96198633722297386e-21 4.36926333951996177e-25 -2.34990470427161805e-24 -7.15996460107167927e-28
450.0 1850.0 2.84722087364241312e-21 4.02933352935385953e-25 -2.24167260692931918e-24 -6.45215537651638869e-28
450.0 1900.0 2.73772652949137743e-21 3.72266085145924811e-25 -2.13899537707459438e-24 -5.82763293609985594e-28
450.0 1950.0 2.63323477374745160e-21 3.44537144263044431e-25 -2.04151341025321755e-24 -5.27509561750641066e-28
450.0 2000.0 2.53349383920060266e-21 3.19411178498688785e-25 -1.94891355923653062e-24 -4.78497626605401211e-28
450.0 2050.0 2.43826669712516382e-21 2.96596967799733047e-25 -1.86091784164938386e-24 -4.34914489595583886e-28
450.0 2100.0 2.34732951393112083e-21 2.75840861103371760e-25 -1.77727528888886818e-24 -3.96066778119179280e-28
